,City,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
370,makakilo city,23.61,21.3469,-158.0858,41,1,5.14
371,thiruvananthapuram,27.0,8.4833,76.9167,44,20,1.03
372,mahebourg,25.0,-20.4081,57.7,83,40,0.51
373,mogok,20.71,22.9167,96.5,41,0,0.6
374,boguchany,-18.56,58.3814,97.4531,87,96,4.19
375,nikki,20.54,9.9401,3.2108,20,8,1.53
376,avera,13.97,33.194,-82.5271,85,90,0.83
377,birao,16.05,10.2849,22.7882,30,99,2.6
378,pandoh,14.92,31.6833,77.05,34,0,1.8
379,horki,-16.35,54.2861,30.9842,94,89,3.04
380,abu dhabi,19.57,24.4667,54.3667,94,20,1.54
381,petropavlovka,-6.71,50.6114,105.3196,91,100,0.52
382,san francisco,10.61,37.7749,-122.4194,76,75,4.12
383,clacton-on-sea,0.16,51.7897,1.156,69,99,3.13
384,antofagasta,19.0,-23.65,-70.4,77,0,3.6
385,vila franca do campo,16.35,37.7167,-25.4333,94,75,8.75
386,sakakah,11.0,29.9697,40.2064,71,0,2.06
387,yukamenskoye,-26.44,57.8865,52.2416,87,81,0.26
388,weston,22.91,26.1004,-80.3998,91,0,3.42
389,solnechnyy,-12.78,50.7214,136.6319,89,97,0.7
390,kismayo,24.79,-0.3582,42.5454,83,59,7.14
391,zhob,8.56,31.3411,69.4481,51,0,0.9
392,sa kaeo,25.61,13.75,102.3333,61,55,4.15
393,rudbar,10.35,30.15,62.6,47,0,1.16
394,kudahuvadhoo,27.75,2.6708,72.8944,72,41,5.8
395,sao filipe,20.99,14.8961,-24.4956,77,27,4.9
396,pizarro,25.29,4.9533,-77.366,88,98,1.77
397,sao borja,20.85,-28.6606,-56.0044,84,99,1.44
398,arlon,-6.79,49.6833,5.8167,88,85,1.79
399,dongning,-3.47,44.0622,131.1207,91,53,1.72
400,dire,23.06,12.2833,-10.9667,22,52,0.68
401,namibe,21.27,-15.1961,12.1522,79,98,0.87
402,guerrero negro,14.78,27.9769,-114.0611,83,0,5.79
